time,FL1,FL6,FL19,TA21s1,TB21s11,TL8s1,TL9s1,TL14s1,PS1,PS2,PH1,PH2,cv42C,cv43C
3.4197983,219.93557,260.39064,480.47749,608.46015,508.99207,387.7574,387.74441,488.95949,88.440544,91.55336,36.946073,37.784268,62757.594,62708.961
3.5197983,219.14273,260.9187,480.21637,608.51752,509.05555,387.75791,387.74417,488.98085,88.348991,91.55336,36.897325,37.755047,62754.293,62704.156
3.6197984,218.34999,261.44491,479.95347,608.57578,509.11977,387.75842,387.74397,489.00275,88.257439,91.55336,36.84859,37.725481,62751.012,62699.438
3.7197984,217.55817,261.96871,479.68913,608.63471,509.1846,387.75892,387.74377,489.0252,88.165886,91.55336,36.799842,37.695639,62747.762,62694.812
3.8197984,216.76769,262.48955,479.42286,608.69432,509.25005,387.75943,387.74353,489.04816,88.074333,91.55336,36.751047,37.665533,62744.527,62690.277
3.9197984,215.97903,263.00735,479.15548,608.75441,509.31597,387.75998,387.74333,489.07166,87.982773,91.55336,36.702188,37.635193,62741.301,62685.84
4.0197984,215.19221,263.52182,478.88682,608.81497,509.38236,387.76052,387.74309,489.0957,87.89122,91.55336,36.653263,37.604637,62738.059,62681.504
4.1197984,214.40768,264.03322,478.617,608.876,509.44919,387.76106,387.74289,489.12028,87.799667,91.55336,36.604249,37.573865,62734.84,62677.273
4.2197984,213.62499,264.54099,478.34574,608.93745,509.51643,387.7616,387.74265,489.14537,87.708115,91.55336,36.555171,37.542911,62731.594,62673.156
4.3197984,212.84458,265.04558,478.07316,608.99923,509.58411,387.76218,387.74241,489.17101,87.616562,91.55336,36.506,37.511752,62728.352,62669.156
4.4197983,212.06173,265.5582,477.80411,609.06148,509.65217,387.76276,387.74221,489.19715,87.525009,91.566467,36.456856,37.493146,62725.098,62665.27
4.5197983,211.2224,266.17925,477.58894,609.12354,509.71825,387.76347,387.74207,489.22387,87.433456,91.610176,36.410259,37.498437,62723.965,62661.523
4.6197984,210.32717,266.88741,477.40445,609.18328,509.77851,387.76418,387.74194,489.25103,87.341904,91.653893,36.366485,37.497432,62724.203,62658.062
4.7197984,209.39301,267.64493,477.22937,609.23855,509.83287,387.76493,387.74177,489.27867,87.250351,91.697601,36.324678,37.49247,62724.289,62655.062
4.8197984,208.43311,268.43011,477.05595,609.28914,509.88291,387.76567,387.74163,489.30664,87.158798,91.74131,36.284171,37.484921,62723.707,62652.598
4.9197984,207.45738,269.23032,476.88159,609.33594,509.93035,387.76645,387.7415,489.33489,87.067245,91.785019,36.244481,37.475613,62722.555,62650.672
5.0197984,206.47262,270.03795,476.70551,609.38029,509.9765,387.76723,387.74133,489.36334,86.975693,91.828728,36.205262,37.465041,62720.957,62649.227
5.1197984,205.48281,270.84774,476.52634,609.42322,510.02214,387.76805,387.74119,489.39195,86.88414,91.872437,36.166302,37.453553,62719.07,62648.199
5.2197984,204.49113,271.65691,476.34461,609.46547,510.06778,387.76889,387.74105,489.42071,86.79258,91.916145,36.127441,37.441345,62716.984,62647.52
5.3197984,203.49949,272.46369,476.16045,609.50765,510.11373,387.76974,387.74089,489.4496,86.701027,91.959854,36.08859,37.428562,62714.785,62647.129
5.4197983,202.50918,273.26694,475.97435,609.54997,510.16008,387.77062,387.74075,489.47862,86.609474,92.003563,36.049683,37.415295,62712.531,62646.977
5.5197983,201.52073,274.06577,475.78532,609.59262,510.20701,387.7715,387.74061,489.50775,86.517921,92.047272,36.010688,37.401617,62710.219,62647.027
5.6197984,200.53486,274.86005,475.59473,609.63582,510.25448,387.77242,387.74044,489.53701,86.426369,92.090981,35.971572,37.387562,62707.871,62647.246
5.7197984,199.55189,275.6496,475.40249,609.67943,510.3025,387.77334,387.74028,489.56638,86.334816,92.134689,35.932335,37.373179,62705.52,62647.617
5.8197984,198.57169,276.43403,475.20792,609.72358,510.35112,387.77425,387.74014,489.59588,86.243263,92.178398,35.892953,37.358469,62703.141,62648.113
5.9197984,197.59456,277.21356,475.01119,609.76827,510.40029,387.7752,387.73997,489.62555,86.151711,92.222107,35.85343,37.34346,62700.766,62648.73
