time,FL1,FL6,FL19,TA21s1,TB21s11,TL8s1,TL9s1,TL14s1,PS1,PS2,PH1,PH2,cv42C,cv43C
0.0,244.39862,244.27388,488.67117,606.83234,507.13426,387.75126,387.75119,488.62193,91.55336,91.55336,38.657019,38.66204,62882.008,62882.086
0.019798357,244.3984,244.27332,488.67206,606.83078,507.1342,387.75126,387.75119,488.62193,91.55336,91.55336,38.657059,38.662087,62881.719,62882.086
0.11979835,244.17701,244.44588,488.62494,606.82495,507.13365,387.75116,387.75109,488.62186,91.461807,91.597069,38.576331,38.697475,62878.285,62882.078
0.21979836,243.6691,244.85756,488.52954,606.82285,507.13776,387.75106,387.75102,488.62179,91.370255,91.640778,38.512766,38.718767,62873.23,62881.953
0.31979835,242.98237,245.42746,488.41425,606.82604,507.14905,387.75099,387.75092,488.62179,91.278694,91.684486,38.459864,38.730682,62868.258,62881.5
0.41979834,242.18326,246.1007,488.29056,606.83546,507.16678,387.75096,387.75082,488.62186,91.187141,91.728195,38.413641,38.73645,62864.039,62880.594
0.51979834,241.31301,246.84106,488.1631,606.85059,507.18926,387.75099,387.75072,488.62213,91.095589,91.771904,38.371642,38.738219,62860.625,62879.203
0.61979836,240.39724,247.62491,488.03392,606.87019,507.21503,387.75109,387.75062,488.62267,91.004036,91.815613,38.332332,38.737382,62857.836,62877.363
0.71979839,239.45221,248.43685,487.9038,606.89304,507.24297,387.75123,387.75052,488.62359,90.912483,91.859322,38.294751,38.734857,62855.488,62875.137
0.81979835,238.48825,249.26705,487.77296,606.91813,507.27234,387.75143,387.75041,488.62484,90.82093,91.90303,38.258279,38.731222,62853.426,62872.594
0.91979837,237.51193,250.10903,487.64162,606.94465,507.30262,387.7517,387.75031,488.62654,90.729378,91.946739,38.22253,38.726869,62851.551,62869.801
1.0197984,236.52745,250.95866,487.50973,606.97218,507.33354,387.75197,387.75021,488.62864,90.637825,91.990448,38.18725,38.722034,62849.777,62866.812
1.1197984,235.53757,251.81324,487.37745,607.00046,507.36494,387.75235,387.75011,488.63115,90.546272,92.034157,38.152285,38.716886,62848.074,62863.68
1.2197984,234.54398,252.67104,487.24462,607.02915,507.39668,387.75272,387.75001,488.63413,90.45472,92.077873,38.117522,38.711518,62846.406,62860.434
1.3197984,233.5479,253.53094,487.11134,607.05824,507.42872,387.75316,387.74991,488.63753,90.363167,92.121582,38.082903,38.70601,62844.758,62857.109
1.4197983,232.55005,254.39214,486.97756,607.08754,507.46101,387.75363,387.7498,488.64136,90.271614,92.165291,38.048373,38.700394,62843.113,62853.723
1.5197983,231.55092,255.2542,486.84329,607.11717,507.49349,387.75414,387.7497,488.6456,90.180054,92.209,38.013912,38.69471,62841.473,62850.293
1.6197984,230.55082,256.11675,486.70863,607.14695,507.52618,387.75469,387.7496,488.65028,90.088501,92.252708,37.979496,38.688971,62839.828,62846.836
1.7197984,229.54929,256.98138,486.57414,607.17692,507.55907,387.75526,387.7495,488.6554,89.996948,92.296417,37.945137,38.684067,62838.195,62843.367
1.8197984,228.53781,257.86426,486.44817,607.20696,507.59172,387.75591,387.7494,488.66092,89.905396,92.340126,37.911274,38.684697,62836.871,62839.891
1.9197984,227.51668,258.76165,486.32697,607.2368,507.6236,387.75655,387.74933,488.66686,89.813843,92.383835,37.877967,38.683657,62835.789,62836.445
2.0197984,226.49003,259.6649,486.20598,607.26596,507.65466,387.75723,387.74923,488.67316,89.72229,92.427544,37.844976,38.681348,62834.637,62833.062
2.1197984,225.4612,260.56879,486.08339,607.29451,507.68528,387.75794,387.74913,488.67988,89.630737,92.471252,37.812113,38.67803,62833.312,62829.758
2.2197984,224.43253,261.47005,485.95831,607.32273,507.71589,387.75869,387.74902,488.68693,89.539185,92.514961,37.779238,38.673877,62831.824,62826.531
2.3197984,223.40004,262.36937,485.82764,607.35087,507.74679,387.75943,387.74892,488.69432,89.447632,92.55867,37.743461,38.668907,62830.148,62823.375
2.4197983,222.35694,263.27033,485.68788,607.37935,507.77866,387.76021,387.74882,488.70205,89.356079,92.602379,37.706575,38.662889,62828.086,62820.262
2.5197983,221.30945,264.1702,485.5427,607.40865,507.81189,387.76099,387.74872,488.71012,89.264526,92.646088,37.669933,38.655973,62825.895,62817.16
